way,acc_mean,acc_std,learning_rate,n_estimators
l_ts10_0.85,0.82806,0.063825,0.001,180.0
l_ts10_0.85,0.82775,0.064229,0.001,200.0
l_ts10_0.85,0.825844,0.062884,0.001,220.0
l_ts10_0.85,0.828633,0.064787,0.005,40.0
l_ts10_0.85,0.825937,0.063225,0.005,60.0
l_ts10_0.85,0.823226,0.061346,0.005,80.0
l_ts10_0.85,0.823102,0.06255,0.005,100.0
l_ts10_0.85,0.824496,0.062175,0.005,120.0
l_ts10_0.85,0.829052,0.066694,0.005,140.0
l_ts10_0.85,0.829733,0.066864,0.005,160.0
l_ts10_0.85,0.831453,0.065737,0.005,180.0
l_ts10_0.85,0.834134,0.068071,0.005,200.0
l_ts10_0.85,0.83387,0.068083,0.005,220.0
l_ts10_0.85,0.823737,0.061105,0.01,40.0
l_ts10_0.85,0.825736,0.060499,0.01,60.0
l_ts10_0.85,0.830431,0.06708,0.01,80.0
l_ts10_0.85,0.833917,0.068148,0.01,100.0
l_ts10_0.85,0.835203,0.066666,0.01,120.0
l_ts10_0.85,0.840456,0.056143,0.01,140.0
l_ts10_0.85,0.839774,0.057777,0.01,160.0
l_ts10_0.85,0.842857,0.061255,0.01,180.0
l_ts10_0.85,0.842873,0.060093,0.01,200.0
l_ts10_0.85,0.843926,0.059624,0.01,220.0
l_ts10_0.85,0.840951,0.057129,0.05,40.0
l_ts10_0.85,0.84811,0.059984,0.05,60.0
l_ts10_0.85,0.850775,0.055507,0.05,80.0
l_ts10_0.85,0.852247,0.05531,0.05,100.0
l_ts10_0.85,0.852262,0.05623,0.05,120.0
l_ts10_0.85,0.853393,0.058399,0.05,140.0
l_ts10_0.85,0.855222,0.058414,0.05,160.0
l_ts10_0.85,0.855377,0.059014,0.05,180.0
l_ts10_0.85,0.855702,0.058984,0.05,200.0
l_ts10_0.85,0.854943,0.05918,0.05,220.0
l_ts10_0.85,0.85189,0.057157,0.1,40.0
l_ts10_0.85,0.853145,0.057209,0.1,60.0
l_ts10_0.85,0.855454,0.05866,0.1,80.0
l_ts10_0.85,0.856539,0.059247,0.1,100.0
l_ts10_0.85,0.856151,0.059595,0.1,120.0
l_ts10_0.85,0.85626,0.06053,0.1,140.0
l_ts10_0.85,0.855469,0.060928,0.1,160.0
l_ts10_0.85,0.854726,0.061445,0.1,180.0
l_ts10_0.85,0.855098,0.061148,0.1,200.0
l_ts10_0.85,0.854617,0.061225,0.1,220.0
l_ts10_0.85,0.855222,0.063502,0.5,40.0
l_ts10_0.85,0.853378,0.064081,0.5,60.0
l_ts10_0.85,0.853006,0.063864,0.5,80.0
l_ts10_0.85,0.852619,0.063581,0.5,100.0
l_ts10_0.85,0.852448,0.064013,0.5,120.0
l_ts10_0.85,0.852123,0.064208,0.5,140.0
l_ts10_0.85,0.852681,0.064255,0.5,160.0
l_ts10_0.85,0.852479,0.064055,0.5,180.0
l_ts10_0.85,0.852293,0.063441,0.5,200.0
