way,acc_mean,acc_std,learning_rate,n_estimators,num_leaves
tf5_0.844,0.808569,0.042375,0.01,180.0,150.0
tf5_0.844,0.806169,0.043322,0.01,180.0,200.0
tf5_0.844,0.806896,0.043081,0.01,180.0,250.0
tf5_0.844,0.8335,0.055181,0.01,200.0,31.0
tf5_0.844,0.831032,0.052183,0.01,200.0,50.0
tf5_0.844,0.810412,0.042495,0.01,200.0,100.0
tf5_0.844,0.809837,0.042189,0.01,200.0,150.0
tf5_0.844,0.808637,0.042888,0.01,200.0,200.0
tf5_0.844,0.808028,0.042781,0.01,200.0,250.0
tf5_0.844,0.834615,0.054932,0.01,220.0,31.0
tf5_0.844,0.832063,0.052471,0.01,220.0,50.0
tf5_0.844,0.811527,0.04185,0.01,220.0,100.0
tf5_0.844,0.81271,0.042069,0.01,220.0,150.0
tf5_0.844,0.809668,0.043808,0.01,220.0,200.0
tf5_0.844,0.809245,0.043707,0.01,220.0,250.0
tf5_0.844,0.83257,0.05642,0.05,40.0,31.0
tf5_0.844,0.830897,0.053937,0.05,40.0,50.0
tf5_0.844,0.813522,0.0433,0.05,40.0,100.0
tf5_0.844,0.809195,0.041428,0.05,40.0,150.0
tf5_0.844,0.806896,0.043011,0.05,40.0,200.0
tf5_0.844,0.807386,0.043131,0.05,40.0,250.0
tf5_0.844,0.832316,0.052577,0.05,60.0,31.0
tf5_0.844,0.832181,0.052438,0.05,60.0,50.0
tf5_0.844,0.814722,0.042764,0.05,60.0,100.0
tf5_0.844,0.815009,0.043933,0.05,60.0,150.0
tf5_0.844,0.80911,0.043266,0.05,60.0,200.0
tf5_0.844,0.812152,0.042864,0.05,60.0,250.0
tf5_0.844,0.833652,0.051071,0.05,80.0,31.0
tf5_0.844,0.835004,0.053125,0.05,80.0,50.0
tf5_0.844,0.820519,0.045082,0.05,80.0,100.0
tf5_0.844,0.817257,0.043606,0.05,80.0,150.0
tf5_0.844,0.813691,0.043428,0.05,80.0,200.0
