way,acc_mean,acc_std,learning_rate,n_estimators,num_leaves
short_tf5_0.838,0.829173,0.034033,0.05,160.0,31.0
short_tf5_0.838,0.824981,0.036087,0.05,160.0,50.0
short_tf5_0.838,0.81631,0.038128,0.05,160.0,100.0
short_tf5_0.838,0.826249,0.022106,0.05,160.0,150.0
short_tf5_0.838,0.823544,0.020787,0.05,160.0,200.0
short_tf5_0.838,0.826975,0.015146,0.05,160.0,250.0
short_tf5_0.838,0.828649,0.035487,0.05,180.0,31.0
short_tf5_0.838,0.824305,0.037694,0.05,180.0,50.0
short_tf5_0.838,0.815195,0.039815,0.05,180.0,100.0
short_tf5_0.838,0.824626,0.023448,0.05,180.0,150.0
short_tf5_0.838,0.823325,0.021521,0.05,180.0,200.0
short_tf5_0.838,0.825454,0.017127,0.05,180.0,250.0
short_tf5_0.838,0.825674,0.039153,0.05,200.0,31.0
short_tf5_0.838,0.82368,0.038326,0.05,200.0,50.0
short_tf5_0.838,0.814586,0.040922,0.05,200.0,100.0
short_tf5_0.838,0.825032,0.024383,0.05,200.0,150.0
short_tf5_0.838,0.821313,0.022878,0.05,200.0,200.0
short_tf5_0.838,0.82493,0.018517,0.05,200.0,250.0
short_tf5_0.838,0.825691,0.038577,0.05,220.0,31.0
short_tf5_0.838,0.825235,0.036339,0.05,220.0,50.0
short_tf5_0.838,0.815972,0.039542,0.05,220.0,100.0
short_tf5_0.838,0.825201,0.026001,0.05,220.0,150.0
short_tf5_0.838,0.820823,0.024527,0.05,220.0,200.0
short_tf5_0.838,0.82422,0.018873,0.05,220.0,250.0
short_tf5_0.838,0.834767,0.022221,0.1,40.0,31.0
short_tf5_0.838,0.83164,0.018953,0.1,40.0,50.0
short_tf5_0.838,0.818085,0.026884,0.1,40.0,100.0
short_tf5_0.838,0.819927,0.015604,0.1,40.0,150.0
short_tf5_0.838,0.81893,0.016713,0.1,40.0,200.0
short_tf5_0.838,0.823511,0.013973,0.1,40.0,250.0
short_tf5_0.838,0.83355,0.021998,0.1,60.0,31.0
short_tf5_0.838,0.82226,0.032777,0.1,60.0,50.0
short_tf5_0.838,0.822902,0.022128,0.1,60.0,100.0
short_tf5_0.838,0.823511,0.017696,0.1,60.0,150.0
short_tf5_0.838,0.818947,0.025894,0.1,60.0,200.0
short_tf5_0.838,0.826046,0.017813,0.1,60.0,250.0
short_tf5_0.838,0.830322,0.026344,0.1,80.0,31.0
short_tf5_0.838,0.823375,0.037451,0.1,80.0,50.0
short_tf5_0.838,0.823426,0.024283,0.1,80.0,100.0
short_tf5_0.838,0.823899,0.022893,0.1,80.0,150.0
short_tf5_0.838,0.817933,0.026017,0.1,80.0,200.0
short_tf5_0.838,0.828767,0.018543,0.1,80.0,250.0
short_tf5_0.838,0.827195,0.027514,0.1,100.0,31.0
short_tf5_0.838,0.821195,0.038248,0.1,100.0,50.0
short_tf5_0.838,0.824237,0.027501,0.1,100.0,100.0
short_tf5_0.838,0.822733,0.02834,0.1,100.0,150.0
short_tf5_0.838,0.817561,0.028533,0.1,100.0,200.0
short_tf5_0.838,0.827635,0.02137,0.1,100.0,250.0
short_tf5_0.838,0.824677,0.032189,0.1,120.0,31.0
short_tf5_0.838,0.820485,0.041181,0.1,120.0,50.0
short_tf5_0.838,0.822665,0.029768,0.1,120.0,100.0
short_tf5_0.838,0.823443,0.029937,0.1,120.0,150.0
short_tf5_0.838,0.818643,0.02863,0.1,120.0,200.0
short_tf5_0.838,0.826266,0.02532,0.1,120.0,250.0
short_tf5_0.838,0.822615,0.035153,0.1,140.0,31.0
short_tf5_0.838,0.819285,0.042745,0.1,140.0,50.0
short_tf5_0.838,0.821702,0.031641,0.1,140.0,100.0
short_tf5_0.838,0.823527,0.030837,0.1,140.0,150.0
short_tf5_0.838,0.819978,0.028391,0.1,140.0,200.0
short_tf5_0.838,0.825792,0.026727,0.1,140.0,250.0
short_tf5_0.838,0.818305,0.039791,0.1,160.0,31.0
short_tf5_0.838,0.81751,0.045184,0.1,160.0,50.0
short_tf5_0.838,0.819995,0.033893,0.1,160.0,100.0
short_tf5_0.838,0.823511,0.030867,0.1,160.0,150.0
short_tf5_0.838,0.820536,0.027316,0.1,160.0,200.0
short_tf5_0.838,0.824795,0.027251,0.1,160.0,250.0
short_tf5_0.838,0.812829,0.046847,0.1,180.0,31.0
short_tf5_0.838,0.816733,0.045987,0.1,180.0,50.0
short_tf5_0.838,0.820756,0.034572,0.1,180.0,100.0
short_tf5_0.838,0.822733,0.030327,0.1,180.0,150.0
short_tf5_0.838,0.821195,0.027799,0.1,180.0,200.0
short_tf5_0.838,0.824711,0.027018,0.1,180.0,250.0
short_tf5_0.838,0.811628,0.048708,0.1,200.0,31.0
short_tf5_0.838,0.81555,0.046633,0.1,200.0,50.0
short_tf5_0.838,0.819894,0.035865,0.1,200.0,100.0
short_tf5_0.838,0.822361,0.031473,0.1,200.0,150.0
short_tf5_0.838,0.821094,0.028497,0.1,200.0,200.0
short_tf5_0.838,0.824761,0.026577,0.1,200.0,250.0
short_tf5_0.838,0.810243,0.049793,0.1,220.0,31.0
short_tf5_0.838,0.816158,0.046359,0.1,220.0,50.0
short_tf5_0.838,0.819691,0.037678,0.1,220.0,100.0
short_tf5_0.838,0.822158,0.031079,0.1,220.0,150.0
short_tf5_0.838,0.820958,0.028257,0.1,220.0,200.0
short_tf5_0.838,0.824288,0.026183,0.1,220.0,250.0
short_tf5_0.838,0.810344,0.039337,0.5,40.0,31.0
short_tf5_0.838,0.803854,0.0453,0.5,40.0,50.0
short_tf5_0.838,0.82204,0.021752,0.5,40.0,100.0
short_tf5_0.838,0.816902,0.030019,0.5,40.0,150.0
short_tf5_0.838,0.82013,0.027984,0.5,40.0,200.0
short_tf5_0.838,0.823747,0.021451,0.5,40.0,250.0
short_tf5_0.838,0.81555,0.033607,0.5,60.0,31.0
short_tf5_0.838,0.807521,0.034858,0.5,60.0,50.0
short_tf5_0.838,0.819133,0.027845,0.5,60.0,100.0
short_tf5_0.838,0.819471,0.027059,0.5,60.0,150.0
short_tf5_0.838,0.819792,0.026781,0.5,60.0,200.0
short_tf5_0.838,0.824153,0.023411,0.5,60.0,250.0
short_tf5_0.838,0.812152,0.028339,0.5,80.0,31.0
short_tf5_0.838,0.817984,0.030252,0.5,80.0,50.0
short_tf5_0.838,0.813319,0.026928,0.5,80.0,100.0
short_tf5_0.838,0.819927,0.028063,0.5,80.0,150.0
short_tf5_0.838,0.818829,0.026547,0.5,80.0,200.0
short_tf5_0.838,0.82395,0.02343,0.5,80.0,250.0
short_tf5_0.838,0.823899,0.018997,0.5,100.0,31.0
short_tf5_0.838,0.812524,0.033658,0.5,100.0,50.0
short_tf5_0.838,0.814755,0.027729,0.5,100.0,100.0
short_tf5_0.838,0.82013,0.028625,0.5,100.0,150.0
short_tf5_0.838,0.819319,0.026763,0.5,100.0,200.0
short_tf5_0.838,0.82444,0.023121,0.5,100.0,250.0
short_tf5_0.838,0.822868,0.017701,0.5,120.0,31.0
short_tf5_0.838,0.804209,0.04708,0.5,120.0,50.0
